0.000000	0.047124	0.000000
1.000000	0.219911	0.005027
2.000000	0.424115	0.172777
3.000000	0.863938	0.631390
4.000000	1.539380	1.286723
5.000000	2.340487	2.055851
6.000000	3.173009	2.892668
7.000000	4.036947	3.772013
8.000000	4.916593	4.679509
9.000000	5.780530	5.606484
10.000000	6.644468	6.547448
                        
                        
                        
                        
                        
                        
                        
                        
                        
                        
