0.000000 	0.235619 	0.000000
0.500000 	0.235619 	0.000006
1.000000 	0.267035 	0.005027
1.500000 	0.329867 	0.051266
2.000000 	0.455531 	0.172777
2.500000 	0.644026 	0.370595
3.000000 	0.895354 	0.631390
3.500000 	1.178097 	0.940699
4.000000 	1.555088 	1.286723
4.500000 	1.932079 	1.660604
5.000000 	2.309071 	2.055851
5.500000 	2.748894 	2.467710
6.000000 	3.188717 	2.892668
6.500000 	3.628540 	3.328099
7.000000 	4.068362 	3.772013
7.500000 	4.508185 	4.222880
8.000000 	4.979424 	4.679509
8.500000 	5.450663 	5.140960
9.000000 	5.890486 	5.606484
9.500000 	6.361725 	6.075477
10.000000 	6.832964 	6.547448
